timestamp,apid,satellite,subsystem,metric_name,metric_value,status
2026-04-16 05:51:00,104,Sat-A,adcs,reaction_wheel_rpm,3508.0,NOMINAL
2026-04-16 05:51:00,104,Sat-A,adcs,magnetometer_nt,423.5,NOMINAL
2026-04-16 05:51:00,104,Sat-A,adcs,attitude_error_deg,0.27,NOMINAL
2026-04-16 05:51:00,104,Sat-A,adcs,gyro_rate_dps,0.1433,NOMINAL
2026-04-16 05:52:00,104,Sat-A,adcs,reaction_wheel_rpm,3716.0,NOMINAL
2026-04-16 05:52:00,104,Sat-A,adcs,magnetometer_nt,433.8,NOMINAL
2026-04-16 05:52:00,104,Sat-A,adcs,attitude_error_deg,0.561,NOMINAL
2026-04-16 05:52:00,104,Sat-A,adcs,gyro_rate_dps,0.178,NOMINAL
2026-04-16 05:53:00,104,Sat-A,adcs,reaction_wheel_rpm,3930.0,NOMINAL
2026-04-16 05:53:00,104,Sat-A,adcs,magnetometer_nt,437.7,NOMINAL
2026-04-16 05:53:00,104,Sat-A,adcs,attitude_error_deg,0.789,NOMINAL
2026-04-16 05:53:00,104,Sat-A,adcs,gyro_rate_dps,0.2144,NOMINAL
2026-04-16 05:54:00,104,Sat-A,adcs,reaction_wheel_rpm,4098.0,NOMINAL
2026-04-16 05:54:00,104,Sat-A,adcs,magnetometer_nt,445.6,NOMINAL
2026-04-16 05:54:00,104,Sat-A,adcs,attitude_error_deg,0.774,NOMINAL
2026-04-16 05:54:00,104,Sat-A,adcs,gyro_rate_dps,0.2319,NOMINAL
2026-04-16 05:55:00,104,Sat-A,adcs,reaction_wheel_rpm,4224.0,NOMINAL
2026-04-16 05:55:00,104,Sat-A,adcs,magnetometer_nt,442.0,NOMINAL
2026-04-16 05:55:00,104,Sat-A,adcs,attitude_error_deg,0.815,NOMINAL
2026-04-16 05:55:00,104,Sat-A,adcs,gyro_rate_dps,0.2634,NOMINAL
2026-04-16 05:56:00,104,Sat-A,adcs,reaction_wheel_rpm,4291.0,NOMINAL
2026-04-16 05:56:00,104,Sat-A,adcs,magnetometer_nt,444.4,NOMINAL
2026-04-16 05:56:00,104,Sat-A,adcs,attitude_error_deg,0.683,NOMINAL
2026-04-16 05:56:00,104,Sat-A,adcs,gyro_rate_dps,0.2594,NOMINAL
2026-04-16 05:57:00,104,Sat-A,adcs,reaction_wheel_rpm,4293.0,NOMINAL
2026-04-16 05:57:00,104,Sat-A,adcs,magnetometer_nt,448.5,NOMINAL
2026-04-16 05:57:00,104,Sat-A,adcs,attitude_error_deg,0.315,NOMINAL
2026-04-16 05:57:00,104,Sat-A,adcs,gyro_rate_dps,0.2403,NOMINAL
2026-04-16 05:58:00,104,Sat-A,adcs,reaction_wheel_rpm,4246.0,NOMINAL
2026-04-16 05:58:00,104,Sat-A,adcs,magnetometer_nt,453.3,NOMINAL
2026-04-16 05:58:00,104,Sat-A,adcs,attitude_error_deg,0.167,NOMINAL
2026-04-16 05:58:00,104,Sat-A,adcs,gyro_rate_dps,0.207,NOMINAL
2026-04-16 05:59:00,104,Sat-A,adcs,reaction_wheel_rpm,4130.0,NOMINAL
2026-04-16 05:59:00,104,Sat-A,adcs,magnetometer_nt,442.7,NOMINAL
2026-04-16 05:59:00,104,Sat-A,adcs,attitude_error_deg,0.112,NOMINAL
2026-04-16 05:59:00,104,Sat-A,adcs,gyro_rate_dps,0.1835,NOMINAL
2026-04-16 06:00:00,104,Sat-A,adcs,reaction_wheel_rpm,3967.0,NOMINAL
2026-04-16 06:00:00,104,Sat-A,adcs,magnetometer_nt,438.7,NOMINAL
2026-04-16 06:00:00,104,Sat-A,adcs,attitude_error_deg,0.208,NOMINAL
2026-04-16 06:00:00,104,Sat-A,adcs,gyro_rate_dps,0.1399,NOMINAL
2026-04-16 06:01:00,104,Sat-A,adcs,reaction_wheel_rpm,3774.0,NOMINAL
2026-04-16 06:01:00,104,Sat-A,adcs,magnetometer_nt,418.8,NOMINAL
2026-04-16 06:01:00,104,Sat-A,adcs,attitude_error_deg,0.149,NOMINAL
2026-04-16 06:01:00,104,Sat-A,adcs,gyro_rate_dps,0.1193,NOMINAL
2026-04-16 06:02:00,104,Sat-A,adcs,reaction_wheel_rpm,3553.0,NOMINAL
2026-04-16 06:02:00,104,Sat-A,adcs,magnetometer_nt,419.5,NOMINAL
2026-04-16 06:02:00,104,Sat-A,adcs,attitude_error_deg,0.058,NOMINAL
2026-04-16 06:02:00,104,Sat-A,adcs,gyro_rate_dps,0.0859,NOMINAL
2026-04-16 06:03:00,104,Sat-A,adcs,reaction_wheel_rpm,3341.0,NOMINAL
2026-04-16 06:03:00,104,Sat-A,adcs,magnetometer_nt,409.8,NOMINAL
2026-04-16 06:03:00,104,Sat-A,adcs,attitude_error_deg,0.107,NOMINAL
2026-04-16 06:03:00,104,Sat-A,adcs,gyro_rate_dps,0.0662,NOMINAL
2026-04-16 06:04:00,104,Sat-A,adcs,reaction_wheel_rpm,3131.0,NOMINAL
2026-04-16 06:04:00,104,Sat-A,adcs,magnetometer_nt,387.7,NOMINAL
2026-04-16 06:04:00,104,Sat-A,adcs,attitude_error_deg,0.429,NOMINAL
2026-04-16 06:04:00,104,Sat-A,adcs,gyro_rate_dps,0.0633,NOMINAL
2026-04-16 06:05:00,104,Sat-A,adcs,reaction_wheel_rpm,2955.0,NOMINAL
2026-04-16 06:05:00,104,Sat-A,adcs,magnetometer_nt,371.2,NOMINAL
2026-04-16 06:05:00,104,Sat-A,adcs,attitude_error_deg,0.472,NOMINAL
2026-04-16 06:05:00,104,Sat-A,adcs,gyro_rate_dps,0.0653,NOMINAL
2026-04-16 06:06:00,104,Sat-A,adcs,reaction_wheel_rpm,2820.0,NOMINAL
2026-04-16 06:06:00,104,Sat-A,adcs,magnetometer_nt,348.2,NOMINAL
2026-04-16 06:06:00,104,Sat-A,adcs,attitude_error_deg,0.757,NOMINAL
